"시도별",2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024,2024
"시도별",합계:면적 (ha),합계:생산량 (톤),미곡:면적 (ha),미곡:생산량 (톤),맥류:면적 (ha),맥류:생산량 (톤),잡곡:면적 (ha),잡곡:생산량 (톤),두류:면적 (ha),두류:생산량 (톤),서류:면적 (ha),서류:생산량 (톤),합계:면적 (ha),합계:생산량 (톤),미곡:면적 (ha),미곡:생산량 (톤),맥류:면적 (ha),맥류:생산량 (톤),잡곡:면적 (ha),잡곡:생산량 (톤),두류:면적 (ha),두류:생산량 (톤),서류:면적 (ha),서류:생산량 (톤),합계:면적 (ha),합계:생산량 (톤),미곡:면적 (ha),미곡:생산량 (톤),맥류:면적 (ha),맥류:생산량 (톤),잡곡:면적 (ha),잡곡:생산량 (톤),두류:면적 (ha),두류:생산량 (톤),서류:면적 (ha),서류:생산량 (톤),합계:면적 (ha),합계:생산량 (톤),미곡:면적 (ha),미곡:생산량 (톤),맥류:면적 (ha),맥류:생산량 (톤),잡곡:면적 (ha),잡곡:생산량 (톤),두류:면적 (ha),두류:생산량 (톤),서류:면적 (ha),서류:생산량 (톤),합계:면적 (ha),합계:생산량 (톤),미곡:면적 (ha),미곡:생산량 (톤),맥류:면적 (ha),맥류:생산량 (톤),잡곡:면적 (ha),잡곡:생산량 (톤),두류:면적 (ha),두류:생산량 (톤),서류:면적 (ha),서류:생산량 (톤),합계:면적 (ha),합계:생산량 (톤),미곡:면적 (ha),미곡:생산량 (톤),맥류:면적 (ha),맥류:생산량 (톤),잡곡:면적 (ha),잡곡:생산량 (톤),두류:면적 (ha),두류:생산량 (톤),서류:면적 (ha),서류:생산량 (톤),합계:면적 (ha),합계:생산량 (톤),미곡:면적 (ha),미곡:생산량 (톤),맥류:면적 (ha),맥류:생산량 (톤),잡곡:면적 (ha),잡곡:생산량 (톤),두류:면적 (ha),두류:생산량 (톤),서류:면적 (ha),서류:생산량 (톤),합계:면적 (ha),합계:생산량 (톤),미곡:면적 (ha),미곡:생산량 (톤),맥류:면적 (ha),맥류:생산량 (톤),잡곡:면적 (ha),잡곡:생산량 (톤),두류:면적 (ha),두류:생산량 (톤),서류:면적 (ha),서류:생산량 (톤),합계:면적 (ha),합계:생산량 (톤),미곡:면적 (ha),미곡:생산량 (톤),맥류:면적 (ha),맥류:생산량 (톤),잡곡:면적 (ha),잡곡:생산량 (톤),두류:면적 (ha),두류:생산량 (톤),서류:면적 (ha),서류:생산량 (톤),합계:면적 (ha),합계:생산량 (톤),미곡:면적 (ha),미곡:생산량 (톤),맥류:면적 (ha),맥류:생산량 (톤),잡곡:면적 (ha),잡곡:생산량 (톤),두류:면적 (ha),두류:생산량 (톤),서류:면적 (ha),서류:생산량 (톤)
"세종특별자치시",-,-,-,-,-,-,-,-,-,-,-,-,4568,24727,4185,23613,1,2,61,120,164,313,157,679,4310,22355,3970,21491,0,0,41,76,155,249,145,539,4236,22058,3968,21385,4,7,44,80,119,182,101,404,4346,21883,3943,20980,0,0,46,94,244,409,112,400,4300,20647,3891,19754,0,0,64,209,208,256,136,428,3720,19237,3340,18281,0,0,60,261,191,328,129,367,3615,18277,3294,17443,0,0,52,223,164,337,106,274,3458,17201,3156,16562,0,0,42,98,167,259,92,282,-,-,3128,16710,-,-,-,-,-,-,-,-
"경기도",95969,461780,82071,420680,86,148,2763,9888,6346,8901,4703,22164,94626,457050,80750,413916,255,462,2339,8524,5537,6598,5745,27550,91736,418541,78484,379991,114,153,2073,7735,5372,8122,5692,22540,91277,431826,78018,389991,61,78,2321,9467,5332,8333,5545,23957,90517,418160,76642,373740,76,136,1626,6608,6335,10369,5838,27307,88130,387731,75128,348221,62,111,1468,8014,6195,8754,5277,22631,87584,425598,74717,382680,116,325,1741,10220,6175,10535,4834,21838,86366,414887,73648,366863,111,239,1793,13775,6329,11121,4486,22890,84873,408197,73187,366712,26,53,1892,12428,6240,12127,3528,16878,-,-,72914,363303,-,-,-,-,-,-,-,-
"강원도",51565,255056,32300,173676,179,310,7581,32038,5821,11257,5684,37775,48923,242777,30714,166396,119,269,6963,29719,5553,10008,5574,36385,47405,214490,29710,148347,153,310,6536,28014,5596,7740,5410,30079,46723,223472,29006,153944,128,270,6804,29942,5172,9048,5614,30268,47447,228111,28640,150901,166,369,6239,23823,5925,10952,6476,42066,46615,203894,28405,127387,177,398,6289,30972,5940,9560,5804,35576,47487,237439,28903,155501,180,392,6883,33535,5275,10899,6246,37112,46542,221240,28708,143908,98,201,6317,30740,5741,10054,5678,36338,46606,231810,28335,149712,75,176,7115,33114,4966,10428,6115,38379,-,-,27651,145893,-,-,-,-,-,-,-,-
"충청북도",56377,270457,39786,215115,42,79,5410,27491,8811,16948,2328,10824,51833,250315,37114,201675,179,308,4645,22649,6995,11645,2900,14038,48855,226837,35069,179837,238,420,4156,21536,6608,12811,2783,12233,47328,226265,33615,178236,111,201,4209,22909,6510,12744,2882,12175,47379,227352,33247,173916,109,156,3581,23541,7373,16846,3069,12893,46587,208423,32745,160623,86,203,3629,22855,7181,12888,2945,11854,46156,221889,33403,174848,138,309,3757,24605,6146,10922,2712,11204,46664,217248,33195,171414,98,228,3658,22017,7439,14533,2274,9057,45635,219757,32341,171125,57,210,3651,22307,7155,16047,2431,10068,-,-,32469,167007,-,-,-,-,-,-,-,-
"충청남도",158823,862661,146319,827886,232,565,751,1129,6374,10269,5147,22812,149192,808962,137354,774105,278,598,870,1425,5258,8455,5432,24379,145987,753600,134035,720554,362,911,685,1347,5333,9338,5572,21450,146300,765727,133958,732193,470,1109,540,941,5949,9688,5384,21796,146394,749032,132174,709215,321,789,669,1671,7266,11713,5964,25643,144201,712280,131284,677533,147,346,580,1470,6868,10227,5323,22704,149932,819630,135399,773013,129,339,733,1950,7664,16646,6006,27682,148771,767349,133978,725273,288,1265,618,1532,8944,18329,4943,20951,146652,772426,131643,726989,303,1255,908,2494,8634,19427,5163,22260,-,-,129786,706282,-,-,-,-,-,-,-,-
"전라북도",146676,769971,121765,700591,13110,30777,1744,3487,5199,11108,4858,24009,147319,754906,121026,687398,13924,31376,2006,3876,4951,7316,5412,24940,141219,728656,118340,655292,10379,32043,1228,2500,6079,12694,5193,26127,147931,717943,114654,627141,17954,44345,1095,2363,8883,18454,5345,25640,147014,712100,112146,604509,14802,49900,1477,3350,12438,24747,6153,29594,142190,640202,110880,555774,11953,37226,1919,3991,11674,15946,5764,27266,144037,691330,114509,593861,12264,42027,1191,3289,10201,24448,5872,27705,144917,725317,113775,621838,11489,40758,1191,3306,13449,34860,5013,24556,147053,700538,107383,582486,14755,50183,1777,4358,17585,39558,5552,23953,-,-,104348,544982,-,-,-,-,-,-,-,-
"전라남도",213196,971335,170185,866202,19279,41923,3790,8325,13368,20265,6574,34620,208699,953512,166444,846236,19513,46993,3746,7950,11439,16164,7557,36169,198473,935207,161442,827162,16452,47329,3232,8054,10340,16350,7007,36312,201050,885945,154970,766022,23823,54946,3009,7503,11384,15897,7865,41577,201216,890338,154091,725094,21940,72001,4231,15830,12178,16954,8777,60460,197026,808045,156230,687812,17874,51284,4555,14640,9939,12339,8428,41971,192407,917176,155435,789650,14491,48612,4657,19413,9380,15918,8444,43583,192493,867716,154679,742913,12932,39869,5157,19199,10973,20674,8753,45061,191133,879301,149878,736985,15010,46749,6772,24730,10641,20526,8832,50312,-,-,147738,709368,-,-,-,-,-,-,-,-
"경상북도",124445,639784,104712,589466,968,2040,2686,6278,11597,20011,4482,21989,121768,623278,102941,576643,1303,3533,2246,5647,9914,13405,5364,24050,117059,592623,99551,549474,1394,3357,1960,5210,9831,17511,4323,17071,116647,584378,98066,534968,1200,3004,1942,5836,10542,18776,4898,21794,116360,584192,97465,529210,1201,3511,1777,6896,10762,21264,5155,23311,115072,541636,97257,495058,1456,3319,1471,5623,10118,17258,4770,20378,113316,571131,95837,518025,823,2085,1467,5480,10953,24981,4235,20559,113454,558336,94757,511392,609,1322,1477,5025,12887,24905,3724,15692,111524,548995,93252,501248,757,2170,1653,5240,12063,22850,3799,17486,-,-,89339,479887,-,-,-,-,-,-,-,-
"경상남도",89736,431744,73934,389866,6455,14909,1177,3943,5195,10029,2975,12997,86754,410236,70626,369032,7053,16675,1237,4522,4561,6100,3277,13907,82434,402561,67895,359186,5824,16635,1488,5596,4141,7968,3085,13176,80972,374280,65681,334664,6519,15230,1485,5890,4275,6150,3012,12346,80477,376063,65979,332096,5225,14850,1338,5928,4149,6284,3786,16905,78867,362807,65028,314333,4707,13040,1260,13431,3901,6008,3970,15995,75005,375426,64079,338698,3348,10509,1046,6575,3555,5939,2977,13705,75329,368004,64481,330604,2945,8392,1103,10107,3743,6409,3058,12491,73466,357978,63437,324842,2593,7598,997,6516,3702,6694,2737,12328,-,-,62479,313983,-,-,-,-,-,-,-,-
"제주도",12653,24344,128,444,2136,6032,4079,4602,5107,8462,1203,4803,15430,25329,127,358,2451,5357,5284,4246,5582,9244,1986,6124,11614,24628,113,306,2154,6117,4029,4717,3592,6883,1727,6605,11984,22259,81,191,2166,4585,3869,3747,3668,5286,2201,8450,13632,30220,45,100,2562,7151,5230,11947,4035,4114,1760,6908,13246,27213,43,70,2599,6257,5247,10197,3725,3945,1633,6744,13989,25284,65,189,1999,4818,5313,6493,4754,5738,1858,8046,14904,26904,70,201,1967,5620,6069,7573,4940,6653,1856,6858,13160,22173,5,22,1750,3901,4849,5598,5270,7508,1286,5145,-,-,5,19,-,-,-,-,-,-,-,-
