"행정구역별(읍면동)","연령별","시점","총인구(명)","총인구_남자(명)","총인구_여자(명)","총인구_성비","내국인(명)","내국인_남자(명)","내국인_여자(명)","내국인_성비",
"부산광역시","10~14세","2015 년","142028","73952","68076","108.6","141613","73738","67875","108.6",
"부산광역시","10~14세","2016 년","132615","68828","63787","107.9","132205","68629","63576","107.9",
"부산광역시","10~14세","2017 년","129597","67142","62455","107.5","129336","67018","62318","107.5",
"부산광역시","10~14세","2018 년","127020","65535","61485","106.6","126712","65384","61328","106.6",
"부산광역시","10~14세","2019 년","124504","64129","60375","106.2","124150","63960","60190","106.3",
"부산광역시","10~14세","2020 년","126187","65022","61165","106.3","125846","64857","60989","106.3",
"부산광역시","10~14세","2021 년","129029","66262","62767","105.6","128694","66093","62601","105.6",
"부산광역시","10~14세","2022 년","130198","66930","63268","105.8","129791","66731","63060","105.8",
"부산광역시","10~14세","2023 년","129766","66644","63122","105.6","129389","66439","62950","105.5",
"부산광역시","15~19세","2015 년","204961","107728","97233","110.8","203673","107142","96531","111",
"부산광역시","15~19세","2016 년","194712","101759","92953","109.5","192942","100929","92013","109.7",
"부산광역시","15~19세","2017 년","182238","95018","87220","108.9","180155","94050","86105","109.2",
"부산광역시","15~19세","2018 년","170236","88659","81577","108.7","167691","87409","80282","108.9",
"부산광역시","15~19세","2019 년","159525","82794","76731","107.9","157152","81706","75446","108.3",
"부산광역시","15~19세","2020 년","144199","74893","69306","108.1","142835","74287","68548","108.4",
"부산광역시","15~19세","2021 년","133751","69252","64499","107.4","132658","68801","63857","107.7",
"부산광역시","15~19세","2022 년","131316","67720","63596","106.5","129862","67040","62822","106.7",
"부산광역시","15~19세","2023 년","131007","67257","63750","105.5","128616","66134","62482","105.8",
"부산광역시","20~24세","2015 년","248602","132959","115643","115","241138","129272","111866","115.6",
"부산광역시","20~24세","2016 년","245825","130739","115086","113.6","237733","126904","110829","114.5",
"부산광역시","20~24세","2017 년","240049","126463","113586","111.3","231153","122182","108971","112.1",
"부산광역시","20~24세","2018 년","234572","123137","111435","110.5","223664","117664","106000","111",
"부산광역시","20~24세","2019 년","226140","118208","107932","109.5","214191","112218","101973","110",
"부산광역시","20~24세","2020 년","218047","112542","105505","106.7","208516","107823","100693","107.1",
"부산광역시","20~24세","2021 년","208829","107261","101568","105.6","199849","102976","96873","106.3",
"부산광역시","20~24세","2022 년","194156","100034","94122","106.3","184910","95577","89333","107",
"부산광역시","20~24세","2023 년","184866","95236","89630","106.3","174252","89982","84270","106.8",
"부산광역시","25~29세","2015 년","212741","111618","101123","110.4","203729","105996","97733","108.5",
"부산광역시","25~29세","2016 년","213370","111928","101442","110.3","204407","106383","98024","108.5",
"부산광역시","25~29세","2017 년","218670","115467","103203","111.9","209493","109902","99591","110.4",
"부산광역시","25~29세","2018 년","223464","118685","104779","113.3","213372","112650","100722","111.8",
"부산광역시","25~29세","2019 년","225555","119893","105662","113.5","215018","113759","101259","112.3",
"부산광역시","25~29세","2020 년","226843","119788","107055","111.9","217205","114449","102756","111.4",
"부산광역시","25~29세","2021 년","225547","118753","106794","111.2","216226","113654","102572","110.8",
"부산광역시","25~29세","2022 년","218324","114162","104162","109.6","208529","108765","99764","109",
"부산광역시","25~29세","2023 년","210961","109669","101292","108.3","200255","103581","96674","107.1",
"부산광역시","30~34세","2015 년","239683","123727","115956","106.7","232762","118895","113867","104.4",
"부산광역시","30~34세","2016 년","224194","115989","108205","107.2","216764","110921","105843","104.8",
"부산광역시","30~34세","2017 년","208550","107923","100627","107.3","200554","102627","97927","104.8",
"부산광역시","30~34세","2018 년","197580","102511","95069","107.8","188522","96711","91811","105.3",
"부산광역시","30~34세","2019 년","192974","100218","92756","108","183285","94183","89102","105.7",
"부산광역시","30~34세","2020 년","192718","100029","92689","107.9","183399","94489","88910","106.3",
"부산광역시","30~34세","2021 년","195096","101304","93792","108","186247","96125","90122","106.7",
"부산광역시","30~34세","2022 년","201175","104898","96277","109","192116","99505","92611","107.4",
"부산광역시","30~34세","2023 년","206459","108414","98045","110.6","196433","102257","94176","108.6",
"부산광역시","35~39세","2015 년","245563","126063","119500","105.5","240788","122733","118055","104",
"부산광역시","35~39세","2016 년","253126","130038","123088","105.6","248134","126590","121544","104.2",
"부산광역시","35~39세","2017 년","255424","131196","124228","105.6","249880","127445","122435","104.1",
"부산광역시","35~39세","2018 년","253798","130059","123739","105.1","247250","125812","121438","103.6",
"부산광역시","35~39세","2019 년","242964","124675","118289","105.4","235580","120014","115566","103.8",
"부산광역시","35~39세","2020 년","227062","116286","110776","105","219837","111880","107957","103.6",
"부산광역시","35~39세","2021 년","212116","108897","103219","105.5","204935","104626","100309","104.3",
"부산광역시","35~39세","2022 년","198745","102180","96565","105.8","191196","97665","93531","104.4",
"부산광역시","35~39세","2023 년","190244","98253","91991","106.8","181660","93001","88659","104.9",
"부산광역시","40~44세","2015 년","268002","134657","133345","101","264247","132155","132092","100",
"부산광역시","40~44세","2016 년","254784","128753","126031","102.2","250986","126276","124710","101.3",
"부산광역시","40~44세","2017 년","244934","123941","120993","102.4","240997","121441","119556","101.6",
"부산광역시","40~44세","2018 년","236317","120333","115984","103.7","231875","117597","114278","102.9",
"부산광역시","40~44세","2019 년","232814","118424","114390","103.5","227885","115456","112429","102.7",
"부산광역시","40~44세","2020 년","236830","120485","116345","103.6","232022","117674","114348","102.9",
"부산광역시","40~44세","2021 년","243155","123791","119364","103.7","238335","120956","117379","103",
"부산광역시","40~44세","2022 년","246962","125754","121208","103.8","241713","122677","119036","103.1",
"부산광역시","40~44세","2023 년","247355","125768","121587","103.4","241346","122194","119152","102.6",
"부산광역시","45~49세","2015 년","282139","137543","144596","95.1","279247","135950","143297","94.9",
"부산광역시","45~49세","2016 년","284928","138850","146078","95.1","281834","137103","144731","94.7",
"부산광역시","45~49세","2017 년","282671","139262","143409","97.1","279391","137409","141982","96.8",
"부산광역시","45~49세","2018 년","276778","137022","139756","98","273156","134967","138189","97.7",
"부산광역시","45~49세","2019 년","270887","134865","136022","99.1","266775","132490","134285","98.7",
"부산광역시","45~49세","2020 년","260800","129863","130937","99.2","257136","127837","129299","98.9",
"부산광역시","45~49세","2021 년","246880","123585","123295","100.2","243304","121644","121660","100",
"부산광역시","45~49세","2022 년","238052","119346","118706","100.5","234329","117332","116997","100.3",
"부산광역시","45~49세","2023 년","230346","116255","114091","101.9","226271","114026","112245","101.6",
"부산광역시","50~54세","2015 년","295246","141969","153277","92.6","292886","140813","152073","92.6",
"부산광역시","50~54세","2016 년","279576","135609","143967","94.2","277088","134359","142729","94.1",
"부산광역시","50~54세","2017 년","270775","130892","139883","93.6","268165","129522","138643","93.4",
"부산광역시","50~54세","2018 년","269069","129854","139215","93.3","266478","128547","137931","93.2",
"부산광역시","50~54세","2019 년","272717","131636","141081","93.3","269829","130086","139743","93.1",
"부산광역시","50~54세","2020 년","273734","132689","141045","94.1","270923","131303","139620","94",
"부산광역시","50~54세","2021 년","275962","133756","142206","94.1","273058","132276","140782","94",
"부산광역시","50~54세","2022 년","274172","134160","140012","95.8","271211","132642","138569","95.7",
"부산광역시","50~54세","2023 년","269435","132388","137047","96.6","266068","130632","135436","96.5",
"부산광역시","55~59세","2015 년","308539","147484","161055","91.6","306735","146659","160076","91.6",
"부산광역시","55~59세","2016 년","315908","150135","165773","90.6","314199","149308","164891","90.5",
"부산광역시","55~59세","2017 년","313603","149182","164421","90.7","311816","148322","163494","90.7",
"부산광역시","55~59세","2018 년","308391","146553","161838","90.6","306445","145628","160817","90.6",
"부산광역시","55~59세","2019 년","296549","141227","155322","90.9","294389","140146","154243","90.9",
"부산광역시","55~59세","2020 년","281623","134264","147359","91.1","279631","133324","146307","91.1",
"부산광역시","55~59세","2021 년","266432","128220","138212","92.8","264353","127209","137144","92.8",
"부산광역시","55~59세","2022 년","259060","124174","134886","92.1","256957","123141","133816","92",
"부산광역시","55~59세","2023 년","259256","124080","135176","91.8","256860","122890","133970","91.7",
"부산광역시","60~64세","2015 년","239182","114660","124522","92.1","238013","114077","123936","92",
"부산광역시","60~64세","2016 년","254676","121730","132946","91.6","253414","121093","132321","91.5",
"부산광역시","60~64세","2017 년","264249","125995","138254","91.1","262942","125336","137606","91.1",
"부산광역시","60~64세","2018 년","276347","131953","144394","91.4","275048","131314","143734","91.4",
"부산광역시","60~64세","2019 년","285494","135149","150345","89.9","284124","134484","149640","89.9",
"부산광역시","60~64세","2020 년","291543","137595","153948","89.4","290043","136907","153136","89.4",
"부산광역시","60~64세","2021 년","299182","140499","158683","88.5","297782","139857","157925","88.6",
"부산광역시","60~64세","2022 년","296958","139305","157653","88.4","295549","138660","156889","88.4",
"부산광역시","60~64세","2023 년","293765","137821","155944","88.4","292160","137062","155098","88.4",
"부산광역시","65~69세","2015 년","179266","85208","94058","90.6","178707","84918","93789","90.5",
"부산광역시","65~69세","2016 년","187551","88778","98773","89.9","186987","88491","98496","89.8",
"부산광역시","65~69세","2017 년","195683","92502","103181","89.7","195072","92216","102856","89.7",
"부산광역시","65~69세","2018 년","198815","93440","105375","88.7","198202","93153","105049","88.7",
"부산광역시","65~69세","2019 년","206460","97621","108839","89.7","205671","97240","108431","89.7",
"부산광역시","65~69세","2020 년","224086","105178","118908","88.5","223235","104785","118450","88.5",
"부산광역시","65~69세","2021 년","238468","111574","126894","87.9","237629","111185","126444","87.9",
"부산광역시","65~69세","2022 년","248079","115769","132310","87.5","247161","115346","131815","87.5",
"부산광역시","65~69세","2023 년","260130","121578","138552","87.7","259171","121123","138048","87.7",
"부산광역시","70~74세","2015 년","139102","63744","75358","84.6","138836","63606","75230","84.5",
"부산광역시","70~74세","2016 년","137409","63598","73811","86.2","137198","63487","73711","86.1",
"부산광역시","70~74세","2017 년","140072","64728","75344","85.9","139845","64611","75234","85.9",
"부산광역시","70~74세","2018 년","146932","67877","79055","85.9","146684","67757","78927","85.8",
"부산광역시","70~74세","2019 년","155901","71878","84023","85.5","155589","71710","83879","85.5",
"부산광역시","70~74세","2020 년","164547","75685","88862","85.2","164204","75527","88677","85.2",
"부산광역시","70~74세","2021 년","172378","78884","93494","84.4","172003","78717","93286","84.4",
"부산광역시","70~74세","2022 년","180497","82565","97932","84.3","180074","82376","97698","84.3",
"부산광역시","70~74세","2023 년","184413","83951","100462","83.6","183933","83741","100192","83.6",
"부산광역시","75~79세","2015 년","97349","40105","57244","70.1","97165","40039","57126","70.1",
"부산광역시","75~79세","2016 년","104388","43432","60956","71.3","104222","43369","60853","71.3",
"부산광역시","75~79세","2017 년","113527","48153","65374","73.7","113363","48088","65275","73.7",
"부산광역시","75~79세","2018 년","119267","51114","68153","75","119119","51060","68059","75",
"부산광역시","75~79세","2019 년","121817","52726","69091","76.3","121646","52651","68995","76.3",
"부산광역시","75~79세","2020 년","122339","53377","68962","77.4","122172","53302","68870","77.4",
"부산광역시","75~79세","2021 년","121326","53545","67781","79","121173","53467","67706","79",
"부산광역시","75~79세","2022 년","124096","54767","69329","79","123931","54690","69241","79",
"부산광역시","75~79세","2023 년","130956","57851","73105","79.1","130753","57760","72993","79.1",
"부산광역시","80~84세","2015 년","53120","18065","35055","51.5","53014","18020","34994","51.5",
"부산광역시","80~84세","2016 년","58478","20230","38248","52.9","58373","20189","38184","52.9",
"부산광역시","80~84세","2017 년","62714","22357","40357","55.4","62634","22327","40307","55.4",
"부산광역시","80~84세","2018 년","67136","24403","42733","57.1","67051","24380","42671","57.1",
"부산광역시","80~84세","2019 년","72969","27161","45808","59.3","72872","27123","45749","59.3",
"부산광역시","80~84세","2020 년","77700","29540","48160","61.3","77596","29507","48089","61.4",
"부산광역시","80~84세","2021 년","83456","32240","51216","62.9","83352","32206","51146","63",
"부산광역시","80~84세","2022 년","91218","35794","55424","64.6","91092","35750","55342","64.6",
"부산광역시","80~84세","2023 년","96007","38208","57799","66.1","95872","38157","57715","66.1",
"부산광역시","85~89세","2015 년","23420","5764","17656","32.6","23355","5741","17614","32.6",
"부산광역시","85~89세","2016 년","26094","6581","19513","33.7","26041","6561","19480","33.7",
"부산광역시","85~89세","2017 년","27890","7375","20515","35.9","27851","7359","20492","35.9",
"부산광역시","85~89세","2018 년","29656","8195","21461","38.2","29619","8182","21437","38.2",
"부산광역시","85~89세","2019 년","32198","9177","23021","39.9","32145","9159","22986","39.8",
"부산광역시","85~89세","2020 년","35683","10480","25203","41.6","35648","10473","25175","41.6",
"부산광역시","85~89세","2021 년","38874","11789","27085","43.5","38839","11780","27059","43.5",
"부산광역시","85~89세","2022 년","41440","12971","28469","45.6","41399","12959","28440","45.6",
"부산광역시","85~89세","2023 년","44590","14345","30245","47.4","44541","14331","30210","47.4",
"부산광역시","90~94세","2015 년","7123","1483","5640","26.3","7099","1479","5620","26.3",
"부산광역시","90~94세","2016 년","8080","1588","6492","24.5","8052","1582","6470","24.5",
"부산광역시","90~94세","2017 년","8855","1711","7144","24","8837","1708","7129","24",
"부산광역시","90~94세","2018 년","9707","1898","7809","24.3","9691","1893","7798","24.3",
"부산광역시","90~94세","2019 년","10948","2260","8688","26","10918","2248","8670","25.9",
"부산광역시","90~94세","2020 년","11847","2454","9393","26.1","11834","2448","9386","26.1",
"부산광역시","90~94세","2021 년","12756","2721","10035","27.1","12745","2716","10029","27.1",
"부산광역시","90~94세","2022 년","13434","2996","10438","28.7","13416","2989","10427","28.7",
"부산광역시","90~94세","2023 년","14129","3288","10841","30.3","14106","3278","10828","30.3",
"부산광역시","95~99세","2015 년","1264","229","1035","22.1","1254","223","1031","21.6",
"부산광역시","95~99세","2016 년","1560","274","1286","21.3","1548","268","1280","20.9",
"부산광역시","95~99세","2017 년","1785","331","1454","22.8","1776","327","1449","22.6",
"부산광역시","95~99세","2018 년","2063","375","1688","22.2","2057","372","1685","22.1",
"부산광역시","95~99세","2019 년","2153","382","1771","21.6","2141","378","1763","21.4",
"부산광역시","95~99세","2020 년","2384","404","1980","20.4","2376","401","1975","20.3",
"부산광역시","95~99세","2021 년","2513","421","2092","20.1","2503","419","2084","20.1",
"부산광역시","95~99세","2022 년","2722","407","2315","17.6","2716","406","2310","17.6",
"부산광역시","95~99세","2023 년","3080","470","2610","18","3075","469","2606","18",
"부산광역시","100세이상","2015 년","161","17","144","11.8","156","14","142","9.9",
"부산광역시","100세이상","2016 년","178","15","163","9.2","172","12","160","7.5",
"부산광역시","100세이상","2017 년","208","20","188","10.6","207","19","188","10.1",
"부산광역시","100세이상","2018 년","219","24","195","12.3","219","24","195","12.3",
"부산광역시","100세이상","2019 년","273","41","232","17.7","270","40","230","17.4",
"부산광역시","100세이상","2020 년","304","38","266","14.3","303","37","266","13.9",
"부산광역시","100세이상","2021 년","337","48","289","16.6","335","47","288","16.3",
"부산광역시","100세이상","2022 년","369","64","305","21","367","63","304","20.7",
"부산광역시","100세이상","2023 년","396","58","338","17.2","391","57","334","17.1",
"부산광역시","15세미만","2015 년","403274","208324","194950","106.9","401863","207607","194256","106.9",
"부산광역시","15세미만","2016 년","395647","204000","191647","106.4","394222","203281","190941","106.5",
"부산광역시","15세미만","2017 년","385021","198417","186604","106.3","383979","197912","186067","106.4",
"부산광역시","15세미만","2018 년","374931","192892","182039","106","373629","192243","181386","106",
"부산광역시","15세미만","2019 년","364354","187231","177123","105.7","362710","186454","176256","105.8",
"부산광역시","15세미만","2020 년","356727","183161","173566","105.5","355187","182424","172763","105.6",
"부산광역시","15세미만","2021 년","347277","178205","169072","105.4","345675","177426","168249","105.5",
"부산광역시","15세미만","2022 년","334985","171881","163104","105.4","333259","171038","162221","105.4",
"부산광역시","15세미만","2023 년","322209","165391","156818","105.5","320785","164628","156157","105.4",
"부산광역시","15~64세","2015 년","2544658","1278408","1266250","101","2503218","1253692","1249526","100.3",
"부산광역시","15~64세","2016 년","2521099","1265530","1255569","100.8","2477501","1239866","1237635","100.2",
"부산광역시","15~64세","2017 년","2481163","1245339","1235824","100.8","2434546","1218236","1216310","100.2",
"부산광역시","15~64세","2018 년","2446552","1228766","1217786","100.9","2393501","1198299","1195202","100.3",
"부산광역시","15~64세","2019 년","2405619","1207089","1198530","100.7","2348228","1174542","1173686","100.1",
"부산광역시","15~64세","2020 년","2353399","1178434","1174965","100.3","2301547","1149973","1151574","99.9",
"부산광역시","15~64세","2021 년","2306950","1155318","1151632","100.3","2256747","1128124","1128623","100",
"부산광역시","15~64세","2022 년","2258920","1131733","1127187","100.4","2206372","1103004","1103368","100",
"부산광역시","15~64세","2023 년","2223694","1115141","1108553","100.6","2163921","1081759","1082162","100",
"부산광역시","65세이상","2015 년","500805","214615","286190","75","499586","214040","285546","75",
"부산광역시","65세이상","2016 년","523738","224496","299242","75","522593","223959","298634","75",
"부산광역시","65세이상","2017 년","550734","237177","313557","75.6","549585","236655","312930","75.6",
"부산광역시","65세이상","2018 년","573795","247326","326469","75.8","572642","246821","325821","75.8",
"부산광역시","65세이상","2019 년","602719","261246","341473","76.5","601252","260549","340703","76.5",
"부산광역시","65세이상","2020 년","638890","277156","361734","76.6","637368","276480","360888","76.6",
"부산광역시","65세이상","2021 년","670108","291222","378886","76.9","668579","290537","378042","76.9",
"부산광역시","65세이상","2022 년","701855","305333","396522","77","700156","304579","395577","77",
"부산광역시","65세이상","2023 년","733701","319749","413952","77.2","731842","318916","412926","77.2",
"부산광역시","85세이상","2015 년","31968","7493","24475","30.6","31864","7457","24407","30.6",
"부산광역시","85세이상","2016 년","35912","8458","27454","30.8","35813","8423","27390","30.8",
"부산광역시","85세이상","2017 년","38738","9437","29301","32.2","38671","9413","29258","32.2",
"부산광역시","85세이상","2018 년","41645","10492","31153","33.7","41586","10471","31115","33.7",
"부산광역시","85세이상","2019 년","45572","11860","33712","35.2","45474","11825","33649","35.1",
"부산광역시","85세이상","2020 년","50218","13376","36842","36.3","50161","13359","36802","36.3",
"부산광역시","85세이상","2021 년","54480","14979","39501","37.9","54422","14962","39460","37.9",
"부산광역시","85세이상","2022 년","57965","16438","41527","39.6","57898","16417","41481","39.6",
"부산광역시","85세이상","2023 년","62195","18161","44034","41.2","62113","18135","43978","41.2",
"부산광역시","평균연령","2015 년","42","40.7","43.3","","42.1","40.8","43.4","",
"부산광역시","평균연령","2016 년","42.6","41.2","43.9","","42.7","41.3","44","",
"부산광역시","평균연령","2017 년","43.1","41.7","44.4","","43.2","41.8","44.5","",
"부산광역시","평균연령","2018 년","43.6","42.2","44.9","","43.8","42.4","45.1","",
"부산광역시","평균연령","2019 년","44.2","42.8","45.5","","44.4","43","45.7","",
"부산광역시","평균연령","2020 년","44.8","43.4","46.1","","44.9","43.5","46.2","",
"부산광역시","평균연령","2021 년","45.3","43.9","46.6","","45.5","44.1","46.8","",
"부산광역시","평균연령","2022 년","45.9","44.5","47.2","","46","44.7","47.4","",
"부산광역시","평균연령","2023 년","46.4","45","47.7","","46.6","45.2","47.9","",
"부산광역시","중위연령","2015 년","43.3","41.6","44.9","","43.5","41.8","45","",
"부산광역시","중위연령","2016 년","43.9","42.2","45.5","","44.1","42.5","45.7","",
"부산광역시","중위연령","2017 년","44.5","42.8","46.2","","44.8","43.1","46.4","",
"부산광역시","중위연령","2018 년","45.1","43.4","46.8","","45.5","43.8","47.1","",
"부산광역시","중위연령","2019 년","45.8","44","47.5","","46.2","44.4","47.8","",
"부산광역시","중위연령","2020 년","46.5","44.6","48.2","","46.8","45.1","48.5","",
"부산광역시","중위연령","2021 년","47.1","45.2","48.8","","47.4","45.6","49.1","",
"부산광역시","중위연령","2022 년","47.7","45.8","49.5","","48.1","46.2","49.8","",
"부산광역시","중위연령","2023 년","48.3","46.3","50.1","","48.8","46.8","50.5","",
"대구광역시","합계","2015 년","2466052","1228511","1237541","99.3","2436770","1211219","1225551","98.8",
"대구광역시","합계","2016 년","2461002","1223733","1237269","98.9","2430510","1205785","1224725","98.5",
"대구광역시","합계","2017 년","2453041","1218326","1234715","98.7","2421676","1200214","1221462","98.3",
"대구광역시","합계","2018 년","2444412","1212777","1231635","98.5","2409132","1192938","1216194","98.1",
"대구광역시","합계","2019 년","2429940","1203754","1226186","98.2","2389848","1181573","1208275","97.8",
"대구광역시","합계","2020 년","2410700","1190271","1220429","97.5","2373302","1170625","1202677","97.3",
"대구광역시","합계","2021 년","2387911","1177420","1210491","97.3","2350955","1158350","1192605","97.1",
"대구광역시","합계","2022 년","2366852","1165698","1201154","97","2328003","1145462","1182541","96.9",
"대구광역시","합계","2023 년","2379188","1170854","1208334","96.9","2335997","1147899","1188098","96.6",
"대구광역시","0~4세","2015 년","100686","51635","49051","105.3","100316","51467","48849","105.4",
"대구광역시","0~4세","2016 년","99600","50877","48723","104.4","99198","50692","48506","104.5",
"대구광역시","0~4세","2017 년","94482","48279","46203","104.5","94077","48089","45988","104.6",
"대구광역시","0~4세","2018 년","89739","45833","43906","104.4","89246","45593","43653","104.4",
"대구광역시","0~4세","2019 년","83746","42957","40789","105.3","83044","42613","40431","105.4",
"대구광역시","0~4세","2020 년","75767","38862","36905","105.3","75145","38559","36586","105.4",
"대구광역시","0~4세","2021 년","67629","34732","32897","105.6","67018","34437","32581","105.7",
"대구광역시","0~4세","2022 년","62175","31883","30292","105.3","61546","31566","29980","105.3",
"대구광역시","0~4세","2023 년","58257","29981","28276","106","57630","29654","27976","106",
"대구광역시","5~9세","2015 년","104759","54328","50431","107.7","104465","54182","50283","107.8",
"대구광역시","5~9세","2016 년","105819","54610","51209","106.6","105478","54451","51027","106.7",
"대구광역시","5~9세","2017 년","105630","54539","51091","106.7","105400","54433","50967","106.8",
"대구광역시","5~9세","2018 년","104033","53549","50484","106.1","103736","53404","50332","106.1",
"대구광역시","5~9세","2019 년","103487","53001","50486","105","103047","52798","50249","105.1",
"대구광역시","5~9세","2020 년","102474","52434","50040","104.8","102090","52263","49827","104.9",
"대구광역시","5~9세","2021 년","100372","51280","49092","104.5","99865","51048","48817","104.6",
"대구광역시","5~9세","2022 년","95595","48839","46756","104.5","95036","48586","46450","104.6",
"대구광역시","5~9세","2023 년","91757","46838","44919","104.3","91278","46620","44658","104.4",
"대구광역시","10~14세","2015 년","121266","63988","57278","111.7","121079","63899","57180","111.8",
"대구광역시","10~14세","2016 년","113031","59651","53380","111.7","112807","59533","53274","111.7",
"대구광역시","10~14세","2017 년","110571","57854","52717","109.7","110428","57777","52651","109.7",
"대구광역시","10~14세","2018 년","107821","56116","51705","108.5","107604","56004","51600","108.5",
"대구광역시","10~14세","2019 년","104830","54519","50311","108.4","104538","54381","50157","108.4",
"대구광역시","10~14세","2020 년","104457","54158","50299","107.7","104210","54030","50180","107.7",
"대구광역시","10~14세","2021 년","105005","54244","50761","106.9","104695","54088","50607","106.9",
"대구광역시","10~14세","2022 년","105026","54204","50822","106.7","104684","54040","50644","106.7",
"대구광역시","10~14세","2023 년","104389","53646","50743","105.7","104024","53466","50558","105.8",
"대구광역시","15~19세","2015 년","166041","88179","77862","113.3","165435","87916","77519","113.4",
"대구광역시","15~19세","2016 년","157832","83207","74625","111.5","157226","82907","74319","111.6",
"대구광역시","15~19세","2017 년","147500","77903","69597","111.9","146783","77582","69201","112.1",
"대구광역시","15~19세","2018 년","138818","73362","65456","112.1","137675","72825","64850","112.3",
"대구광역시","15~19세","2019 년","131202","69196","62006","111.6","129326","68252","61074","111.8",
"대구광역시","15~19세","2020 년","120738","63343","57395","110.4","119179","62603","56576","110.7",
"대구광역시","15~19세","2021 년","111424","58469","52955","110.4","110624","58097","52527","110.6",
"대구광역시","15~19세","2022 년","109163","56862","52301","108.7","108169","56379","51790","108.9",
"대구광역시","15~19세","2023 년","107254","55598","51656","107.6","106000","55025","50975","107.9",
"대구광역시","20~24세","2015 년","179886","99182","80704","122.9","175680","96903","78777","123",
"대구광역시","20~24세","2016 년","178227","97665","80562","121.2","174130","95438","78692","121.3",
"대구광역시","20~24세","2017 년","174218","94590","79628","118.8","170185","92441","77744","118.9",
"대구광역시","20~24세","2018 년","171337","92437","78900","117.2","166310","89795","76515","117.4",
"대구광역시","20~24세","2019 년","167561","89812","77749","115.5","161473","86609","74864","115.7",
"대구광역시","20~24세","2020 년","164883","87519","77364","113.1","159127","84584","74543","113.5",
"대구광역시","20~24세","2021 년","158547","83644","74903","111.7","152109","80487","71622","112.4",
"대구광역시","20~24세","2022 년","146632","77965","68667","113.5","139971","74615","65356","114.2",
"대구광역시","20~24세","2023 년","138068","73411","64657","113.5","131101","69849","61252","114",
"대구광역시","25~29세","2015 년","147553","80981","66572","121.6","141245","77207","64038","120.6",
"대구광역시","25~29세","2016 년","149598","82378","67220","122.5","143280","78547","64733","121.3",
"대구광역시","25~29세","2017 년","155003","85155","69848","121.9","148739","81412","67327","120.9",
"대구광역시","25~29세","2018 년","160410","87897","72513","121.2","153809","84028","69781","120.4",
"대구광역시","25~29세","2019 년","161994","88259","73735","119.7","155216","84404","70812","119.2",
"대구광역시","25~29세","2020 년","163122","88145","74977","117.6","156979","84853","72126","117.6",
"대구광역시","25~29세","2021 년","162309","87198","75111","116.1","156459","84177","72282","116.5",
"대구광역시","25~29세","2022 년","157767","83833","73934","113.4","151670","80609","71061","113.4",
"대구광역시","25~29세","2023 년","153687","81427","72260","112.7","146714","77532","69182","112.1",
"대구광역시","30~34세","2015 년","164637","84206","80431","104.7","159794","80998","78796","102.8",
"대구광역시","30~34세","2016 년","155362","80524","74838","107.6","150002","77046","72956","105.6",
"대구광역시","30~34세","2017 년","146261","76811","69450","110.6","140523","73219","67304","108.8",
"대구광역시","30~34세","2018 년","140352","74752","65600","114","133980","70900","63080","112.4",
"대구광역시","30~34세","2019 년","138781","74498","64283","115.9","131908","70502","61406","114.8",
"대구광역시","30~34세","2020 년","138022","74266","63756","116.5","131598","70711","60887","116.1",
"대구광역시","30~34세","2021 년","138675","74734","63941","116.9","132616","71434","61182","116.8",
"대구광역시","30~34세","2022 년","142967","77239","65728","117.5","136847","73852","62995","117.2",
"대구광역시","30~34세","2023 년","148950","80481","68469","117.5","142239","76636","65603","116.8",
"대구광역시","35~39세","2015 년","178427","89710","88717","101.1","175062","87423","87639","99.8",
"대구광역시","35~39세","2016 년","179830","90213","89617","100.7","176247","87870","88377","99.4",
"대구광역시","35~39세","2017 년","180724","90576","90148","100.5","176914","88152","88762","99.3",
"대구광역시","35~39세","2018 년","180401","90566","89835","100.8","175863","87793","88070","99.7",
"대구광역시","35~39세","2019 년","172733","87192","85541","101.9","167704","84174","83530","100.8",
"대구광역시","35~39세","2020 년","160788","81511","79277","102.8","155831","78721","77110","102.1",
"대구광역시","35~39세","2021 년","150689","77251","73438","105.2","145701","74484","71217","104.6",
"대구광역시","35~39세","2022 년","141704","73569","68135","108","136438","70700","65738","107.5",
"대구광역시","35~39세","2023 년","137067","72398","64669","112","131156","69092","62064","111.3",
"대구광역시","40~44세","2015 년","210088","103561","106527","97.2","207504","101876","105628","96.4",
"대구광역시","40~44세","2016 년","199464","98620","100844","97.8","196854","96946","99908","97",
"대구광역시","40~44세","2017 년","191103","94604","96499","98","188438","92955","95483","97.4",
"대구광역시","40~44세","2018 년","181974","90588","91386","99.1","178952","88808","90144","98.5",
"대구광역시","40~44세","2019 년","175876","87458","88418","98.9","172443","85466","86977","98.3",
"대구광역시","40~44세","2020 년","175075","87078","87997","99","171791","85270","86521","98.6",
"대구광역시","40~44세","2021 년","175521","87145","88376","98.6","172142","85319","86823","98.3",
"대구광역시","40~44세","2022 년","176711","87720","88991","98.6","173086","85781","87305","98.3",
"대구광역시","40~44세","2023 년","177772","88276","89496","98.6","173607","86060","87547","98.3",
"대구광역시","45~49세","2015 년","223233","109810","113423","96.8","220992","108561","112431","96.6",
"대구광역시","45~49세","2016 년","225880","110673","115207","96.1","223499","109313","114186","95.7",
"대구광역시","45~49세","2017 년","224449","110254","114195","96.5","221947","108823","113124","96.2",
