"시도별(1)",2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023
"시도별(1)",총계,사회복지,사회복지,사회복지,사회복지,사회복지,사회복지,사회복지,사회복지,사회복지,보건의료,기타,총계,사회복지,사회복지,사회복지,사회복지,사회복지,사회복지,사회복지,사회복지,사회복지,보건의료,기타,총계,사회복지,사회복지,사회복지,사회복지,사회복지,사회복지,사회복지,사회복지,사회복지,보건의료,기타,총계,사회복지,사회복지,사회복지,사회복지,사회복지,사회복지,사회복지,사회복지,사회복지,보건의료,기타,총계,사회복지,사회복지,사회복지,사회복지,사회복지,사회복지,사회복지,사회복지,사회복지,보건의료,기타,총계,사회복지,사회복지,사회복지,사회복지,사회복지,사회복지,사회복지,사회복지,사회복지,보건의료,기타,총계,사회복지,사회복지,사회복지,사회복지,사회복지,사회복지,사회복지,사회복지,사회복지,보건의료,기타,총계,사회복지,사회복지,사회복지,사회복지,사회복지,사회복지,사회복지,사회복지,사회복지,보건의료,기타,총계,사회복지,사회복지,사회복지,사회복지,사회복지,사회복지,사회복지,사회복지,사회복지,보건의료,기타,총계,사회복지,사회복지,사회복지,사회복지,사회복지,사회복지,사회복지,사회복지,사회복지,보건의료,기타
"시도별(1)",소계,소계,아동시설,노인시설,장애인시설,여성복지시설,정신요양시설,노숙인복지시설,복지관,법인/단체,소계,소계,소계,소계,아동시설,노인시설,장애인시설,여성복지시설,정신요양시설,노숙인복지시설,복지관,법인/단체,소계,소계,소계,소계,아동시설,노인시설,장애인시설,여성복지시설,정신요양시설,노숙인복지시설,복지관,법인/단체,소계,소계,소계,소계,아동시설,노인시설,장애인시설,여성복지시설,정신요양시설,노숙인복지시설,복지관,법인/단체,소계,소계,소계,소계,아동시설,노인시설,장애인시설,여성복지시설,정신요양시설,노숙인복지시설,복지관,법인/단체,소계,소계,소계,소계,아동시설,노인시설,장애인시설,여성복지시설,정신요양시설,노숙인복지시설,복지관,법인/단체,소계,소계,소계,소계,아동시설,노인시설,장애인시설,여성복지시설,정신요양시설,노숙인복지시설,복지관,법인/단체,소계,소계,소계,소계,아동시설,노인시설,장애인시설,여성복지시설,정신요양시설,노숙인복지시설,복지관,법인/단체,소계,소계,소계,소계,아동시설,노인시설,장애인시설,여성복지시설,정신요양시설,노숙인복지시설,복지관,법인/단체,소계,소계,소계,소계,아동시설,노인시설,장애인시설,여성복지시설,정신요양시설,노숙인복지시설,복지관,법인/단체,소계,소계
"울산광역시",300,227,40,52,53,15,3,0,8,56,23,50,328,250,44,58,62,16,3,0,8,59,27,51,331,251,47,62,59,14,3,1,8,57,28,52,343,263,47,69,64,14,3,1,8,57,26,54,362,276,50,74,67,14,4,1,8,58,26,60,365,283,53,79,73,11,4,1,8,54,25,57,391,304,63,85,78,11,4,1,8,54,25,62,409,317,68,90,80,11,4,1,8,55,25,67,432,328,72,93,87,11,4,1,8,52,27,77,473,354,83,102,94,11,4,1,8,51,32,87
"세종특별자치시",36,31,8,10,6,1,2,1,1,2,2,3,44,36,8,13,7,2,2,0,2,2,3,5,47,35,8,12,7,2,2,-,2,2,5,7,47,35,8,12,8,1,2,0,2,2,4,8,52,38,10,12,9,1,2,0,2,2,4,10,46,36,8,14,8,0,2,1,1,2,2,8,49,39,8,14,8,0,2,1,1,5,2,8,52,42,8,16,9,0,2,1,1,5,3,7,56,44,8,18,10,0,2,1,1,4,4,8,60,46,8,19,10,0,2,1,1,5,4,10
"경기도",1718,1484,398,487,299,20,19,11,72,178,70,164,1828,1590,425,541,317,18,23,11,73,182,73,165,1977,1719,456,589,353,18,23,11,80,189,77,181,1979,1708,445,588,359,12,24,10,88,182,74,197,2077,1791,453,631,384,12,25,13,88,185,78,208,1930,1678,423,573,385,11,21,13,89,163,73,179,2024,1765,441,604,405,12,22,13,93,175,76,183,2156,1888,466,654,445,12,22,13,92,184,77,191,2345,2063,505,748,479,12,25,14,95,185,78,204,2528,2230,532,850,508,12,25,17,98,188,81,217
"강원특별자치도",462,421,88,146,99,10,5,4,16,53,13,28,491,452,99,163,100,10,7,5,16,52,13,26,532,491,108,186,104,11,9,6,16,51,13,28,552,511,119,195,103,11,9,6,17,51,13,28,605,561,128,224,113,11,9,8,17,51,13,31,574,536,119,224,105,10,8,7,16,47,10,28,609,565,123,243,109,10,9,7,16,48,11,33,648,604,126,262,117,14,9,7,16,53,11,33,673,625,127,273,124,14,8,8,16,55,11,37,706,654,128,295,128,15,8,8,16,56,12,40
"충청북도",451,391,93,125,73,8,7,3,14,68,17,43,465,405,103,131,75,6,8,3,14,65,19,41,502,429,100,154,79,6,8,3,14,65,20,53,505,427,106,148,83,6,8,3,14,59,20,58,530,448,111,159,85,6,8,3,14,62,20,62,503,424,102,153,87,6,6,3,14,53,20,59,530,446,109,161,91,6,6,3,14,56,20,64,547,454,110,166,94,4,6,3,14,57,20,73,591,495,123,189,97,6,6,3,14,57,20,76,630,530,128,216,102,6,6,3,14,55,22,78
"충청남도",667,562,144,202,77,6,19,1,17,96,40,65,724,624,166,223,88,8,21,1,17,100,42,58,776,670,182,241,93,10,22,1,18,103,44,62,811,702,189,253,104,8,21,1,18,108,49,60,857,743,196,272,111,9,23,1,19,112,50,64,826,715,192,260,109,9,22,1,20,102,46,65,869,754,200,275,116,15,23,1,20,104,48,67,901,785,204,292,124,15,23,1,21,105,50,66,944,827,211,312,131,18,23,1,21,110,50,67,1005,881,228,336,137,18,23,2,23,114,54,70
"전북특별자치도",526,469,79,181,80,9,6,3,22,89,33,24,544,482,86,189,79,9,6,3,22,88,37,25,566,504,99,194,84,9,6,4,22,86,35,27,575,515,107,193,92,9,7,5,22,80,32,28,606,543,115,206,98,9,7,5,22,81,34,29,587,531,112,202,97,9,7,4,20,80,34,22,605,543,111,211,97,10,7,4,20,83,34,28,615,554,114,214,99,10,7,4,20,86,34,27,640,577,121,226,100,12,7,4,21,86,34,29,667,602,124,238,103,12,7,5,22,91,34,31
"전라남도",820,739,260,276,109,31,5,6,16,36,57,24,878,794,288,298,113,35,6,6,15,33,59,25,932,840,307,310,125,35,6,6,15,36,62,30,961,869,314,316,137,35,8,6,15,38,59,33,1022,923,330,333,152,38,8,7,15,40,59,40,1005,913,322,338,153,34,9,7,13,37,56,36,1049,953,331,358,157,36,9,7,12,43,55,41,1072,973,331,370,162,35,9,7,11,48,55,44,1108,1005,341,384,166,35,9,7,12,51,57,46,1156,1047,352,413,168,35,9,7,12,51,57,52
"경상북도",777,676,164,229,153,11,12,4,17,86,49,52,811,713,169,251,164,11,12,4,17,85,52,46,862,758,181,274,172,12,12,4,18,85,59,45,903,797,182,290,194,12,11,4,18,86,59,47,947,838,190,308,208,12,11,4,18,87,61,48,910,814,188,291,212,11,11,3,19,79,52,44,965,839,192,304,217,12,11,3,19,81,52,74,986,862,196,317,222,12,11,3,18,83,52,72,1027,895,204,332,230,13,10,3,18,85,57,75,1069,934,214,355,233,13,10,3,18,88,62,73
"경상남도",639,540,137,184,113,16,7,6,20,57,60,39,677,572,142,200,122,17,7,6,20,58,64,41,756,637,171,218,135,18,7,7,20,61,76,43,791,669,176,238,144,17,7,6,20,61,77,45,841,706,186,255,149,19,7,6,22,62,83,52,880,750,203,263,166,20,7,7,22,62,75,55,942,798,217,285,176,20,7,7,22,64,81,63,975,824,228,296,180,20,7,7,22,64,83,68,1045,879,242,319,189,22,7,7,22,71,87,79,1122,945,255,353,200,22,8,7,22,78,86,91
"제주특별자치도",300,251,78,76,53,5,1,2,8,28,16,33,307,261,81,80,55,5,1,2,8,29,16,30,311,266,83,81,54,5,1,2,8,32,16,29,310,267,82,82,58,5,1,2,9,28,16,27,329,287,90,84,67,6,1,2,9,28,16,26,320,284,80,83,78,7,1,2,10,23,15,21,329,291,83,84,80,7,1,2,10,24,15,23,340,299,84,88,83,7,1,2,10,24,16,25,345,301,85,85,86,7,1,2,10,25,16,28,352,305,86,85,89,7,1,2,10,25,17,30
