행정구역별,연령별,1998 년,1999 년,2000 년,2001 년,2002 년,2003 년,2004 년,2005 년,2006 년,2007 년,2008 년,2009 년,2010 년,2011 년,2012 년,2013 년,2014 년,2015 년,2016 년,2017 년,2018 년,2019 년,2020 년,2021 년,2022 년,2023 년
강원도,16세,28522,25355,21726,21256,20010,19291,19104,18597,18775,19844,20666,20364,20428,20407,20134,20262,19422,18756,19205,16885,15162,14416,13884,12916,12714,14059
강원도,17세,28693,28344,25180,21578,21076,19817,19151,18958,18485,18696,19857,20597,20348,20418,20381,20154,20222,19385,18725,19142,16826,15098,14391,13884,12867,12644
강원도,18세,29132,28487,28063,25022,21381,20905,19621,18978,18811,18434,18739,19894,20699,20495,20513,20537,20237,20209,19388,18727,19051,16734,15028,14259,13840,12744
강원도,19세,28266,28763,28023,27497,24438,20880,20479,19168,18621,18554,18498,19040,20200,21788,21178,21185,21228,20583,20379,19481,18780,19233,16542,14877,14036,13513
강원도,20세,26722,27810,28238,27502,26861,24058,20571,20183,18944,18414,18563,18374,18913,20491,21605,21204,21051,20979,20435,20319,19368,18675,18989,16516,14788,14061
강원도,21세,27426,26106,27129,27551,26615,26298,23719,20246,19899,18739,18449,18465,18470,19169,20507,21597,21078,21053,20773,20377,20030,19210,18346,18699,16393,14659
강원도,22세,26837,26433,25171,26181,26369,25860,25531,22881,19597,19358,18723,18121,18375,18496,19092,20543,21538,21027,20839,20641,19922,19662,18779,17912,18307,16102
강원도,23세,26876,25564,24992,23741,24628,25588,25045,24563,21807,18878,19074,18340,18046,18499,18202,18991,20461,21921,20737,20657,19928,19308,18949,18026,17437,17722
강원도,24세,28045,25707,24221,23718,22441,23832,24594,23952,23447,21039,18569,18497,18043,17742,17846,17798,18491,20332,20888,20132,19681,19139,18491,18106,17424,16753
강원도,25세,28454,26992,24500,22995,22384,21399,22804,23266,22631,22229,20240,17744,17782,17210,16694,16915,16806,17506,18807,19404,18530,18264,18101,17544,17322,16695
강원도,26세,26592,27356,25761,23311,21483,21203,20415,21538,22015,21325,21378,19489,16983,17036,16239,15859,16045,16175,16504,17762,18089,17505,17567,17451,17081,16768
강원도,27세,27182,25932,26327,24835,21924,20602,20561,19609,20708,21134,20763,20748,18895,16389,16302,15709,15270,15741,15620,15951,16864,17404,17074,17111,17324,16691
강원도,28세,26231,26821,25110,25690,24054,21229,20139,20149,19121,20358,20710,20327,20487,18582,15976,15991,15256,14982,15403,15274,15491,16598,17213,16858,17138,17140
강원도,29세,26823,26155,26346,24700,25115,23456,20989,19878,19830,18825,20119,20633,20256,20184,18253,15757,15764,15086,14863,15397,14988,15337,16506,17201,16980,17019
강원도,30세,27391,26927,25805,26121,24200,24734,23361,20828,19579,19693,18760,20112,20484,20125,20088,18153,15666,15746,15137,14822,15083,14919,15415,16510,17305,16997
강원도,31세,24938,27364,26782,25702,25634,23937,24623,23113,20555,19463,19511,18803,20155,20499,20032,20000,18108,15601,15773,14998,14709,15018,14979,15396,16611,17303
강원도,32세,24759,25117,27224,26634,25356,25273,23819,24541,22841,20486,19480,19592,18927,20194,20300,20020,19926,18175,15587,15778,14766,14627,15063,14985,15372,16542
강원도,33세,24202,24927,25005,27186,26324,25063,25160,23748,24359,22858,20575,19606,19860,18862,20112,20279,19966,19947,18162,15629,15617,14843,14687,14995,15104,15303
강원도,34세,24428,24341,24907,24995,26850,26083,25029,25049,23622,24181,22952,20694,19856,19799,18841,20175,20250,20102,19982,18150,15616,15706,14934,14806,15175,15040
강원도,35세,24370,24627,24249,24897,24710,26667,25984,24894,24866,23566,24366,23027,20848,19955,19790,18976,20236,20444,20235,20046,18059,15733,15908,14997,14938,15202
강원도,36세,27805,24486,24549,24264,24643,24438,26555,25819,24707,24963,23697,24424,23367,20920,19936,19922,19083,20375,20516,20303,20134,18218,15814,16006,15088,14926
강원도,37세,29696,27965,24475,24544,24115,24424,24351,26457,25815,24792,25121,23943,24845,23458,21082,19971,20021,19147,20510,20585,20398,20281,18436,15925,16087,15124
강원도,38세,29480,29770,27907,24467,24378,23899,24372,24220,26508,25885,24932,25297,24413,24968,23576,21065,20024,20116,19258,20559,20605,20526,20433,18532,16056,16080
강원도,39세,28546,29539,29786,27771,24278,24169,23712,24300,24204,26508,25959,25095,25688,24515,25039,23683,21222,20101,20247,19318,20591,20798,20680,20665,18629,16077
강원도,40세,26624,28523,29549,29681,27512,24081,24078,23604,24254,24185,26633,26034,25432,25831,24585,25047,23792,21391,20211,20344,19336,20727,21063,20795,20847,18699
강원도,41세,26961,26572,28368,29419,29397,27210,23914,23853,23540,24247,24185,26665,26446,25527,25901,24615,25072,23910,21530,20287,20357,19433,20860,21200,21024,20784
강원도,42세,23813,26964,26499,28273,29118,29093,27087,23782,23821,23588,24249,24294,27033,26464,25507,25924,24643,25240,23949,21494,20321,20384,19460,20897,21292,21029
강원도,43세,23797,23745,26930,26380,28034,28778,28933,27007,23672,23813,23659,24361,24591,27161,26425,25556,25886,24633,25343,23926,21411,20364,20451,19521,20951,21181
강원도,44세,21309,23777,23681,26915,26204,27838,28608,28731,26913,23601,23823,23676,24750,24631,27135,26429,25536,25903,24605,25375,23871,21382,20432,20472,19549,20840
강원도,45세,17718,21274,23685,23640,26703,26024,27738,28601,28617,26917,23721,23909,24114,24838,24691,27103,26492,25618,25951,24687,25327,23853,21545,20505,20488,19549
강원도,46세,21704,17768,21207,23612,23427,26492,25977,27626,28577,28700,27004,23757,24321,24173,24829,24752,27216,26585,25768,26019,24670,25308,23934,21584,20592,20491
강원도,47세,12334,21648,17777,21100,23507,23280,26380,25919,27540,28555,28925,27044,24208,24463,24243,24898,24850,27275,26687,25875,26001,24745,25411,24000,21637,20517
강원도,48세,13430,12296,21601,17744,21046,23302,23255,26319,25929,27586,28770,28985,27558,24276,24474,24307,24923,24881,27326,26793,25887,26118,24960,25426,24011,21695
강원도,49세,13991,13409,12258,21580,17571,20881,23242,23204,26277,25901,27783,28936,29442,27646,24263,24538,24340,24971,25002,27416,26815,25978,26262,25022,25481,24034
강원도,50세,15329,14009,13428,12205,21463,17480,20888,23269,23223,26366,26005,27835,29441,29511,27700,24364,24625,24461,25096,25125,27411,26889,26177,26431,25176,25506
강원도,51세,16220,15293,13965,13389,12163,21362,17415,20870,23199,23262,26451,26136,28358,29548,29604,27823,24474,24762,24593,25192,25179,27576,27129,26281,26493,25142
강원도,52세,14392,16182,15305,13918,13281,12109,21305,17403,20873,23240,23362,26527,26548,28481,29579,29699,27852,24577,24938,24763,25207,25292,27748,27277,26385,26479
강원도,53세,14548,14401,16131,15247,13853,13247,12101,21283,17384,20887,23407,23458,26966,26650,28585,29785,29743,28030,24732,25047,24871,25291,25463,27817,27404,26416
강원도,54세,15328,14467,14325,16038,15150,13776,13214,12090,21315,17411,20947,23538,23834,27035,26679,28593,29924,29932,28261,24915,25169,25011,25496,25594,27980,27470
강원도,55세,15743,15274,14386,14295,15955,15041,13816,13174,12048,21324,17521,21052,23917,23937,27106,26795,28633,30091,30139,28408,25005,25326,25164,25631,25755,28050
강원도,56세,18860,15688,15193,14377,14202,15782,14942,13751,13113,12085,21373,17587,21372,24027,24010,27159,26898,28816,30285,30375,28527,25161,25520,25321,25781,25833
강원도,57세,17087,18752,15591,15151,14267,14068,15776,14949,13724,13110,12171,21464,17948,21526,24048,24126,27206,27059,28986,30418,30474,28738,25310,25717,25542,25871
강원도,58세,16667,17013,18650,15535,15078,14131,14043,15708,14914,13738,13184,12201,21859,17957,21583,24081,24156,27297,27258,29163,30499,30647,28931,25461,25879,25699
강원도,59세,17034,16586,16951,18499,15330,14926,14079,13982,15644,14974,13769,13227,12407,21928,18074,21719,24225,24261,27439,27433,29293,30657,30877,29056,25630,26047
강원도,60세,16314,16941,16484,16819,18320,15231,14806,14025,13948,15651,14984,13776,13451,12445,21956,18182,21817,24420,24414,27641,27524,29436,30965,31078,29271,25792
강원도,61세,15158,16135,16832,16370,16665,18163,15171,14739,13923,13951,15719,15013,13991,13533,12482,22005,18199,21914,24630,24582,27724,27709,29714,31182,31341,29397
강원도,62세,14771,14979,15993,16692,16254,16470,18004,15013,14605,13870,13912,15719,15242,14027,13553,12505,22055,18233,21995,24701,24688,27810,27868,29800,31406,31413
강원도,63세,13642,14601,14787,15835,16483,16067,16303,17796,14880,14525,13899,13921,15865,15230,13994,13640,12567,22130,18301,22091,24830,24809,28038,28039,29844,31394
강원도,64세,12251,13470,14452,14622,15618,16244,15873,16176,17646,14814,14480,13905,14034,15877,15181,14005,13636,12542,22157,18322,22076,24846,24901,28112,28137,29795
강원도,65세,10775,12106,13247,14245,14390,15386,16008,15665,15975,17505,14759,14453,13929,13992,15843,15130,14003,13647,12530,22072,18309,22079,24980,24767,28182,28080
강원도,66세,9814,10555,11897,13060,13976,14147,15070,15831,15472,15796,17371,14670,14456,13851,13942,15851,15084,14024,13641,12509,22085,18338,22164,24903,24767,28141
강원도,67세,8990,9619,10360,11703,12869,13705,13891,14834,15597,15212,15688,17305,14713,14386,13800,13889,15813,15016,13976,13599,12458,22138,18386,22033,24895,24709
강원도,68세,9652,8802,9414,10186,11477,12578,13416,13574,14555,15355,15043,15537,17305,14567,14290,13740,13807,15784,14996,13968,13565,12460,22139,18271,21947,24783
강원도,69세,9049,9399,8633,9218,9988,11189,12289,13135,13310,14330,15179,14840,15512,17183,14458,14203,13654,13742,15692,14922,13888,13463,12423,21973,18160,21819
강원도,70세,8157,8851,9176,8468,9005,9704,10943,11968,12848,13071,14125,14920,14771,15364,17002,14298,14063,13547,13618,15562,14829,13759,13417,12273,21822,18023
강원도,71세,7270,7929,8630,8922,8213,8765,9448,10700,11704,12599,12810,13873,14770,14538,15107,16786,14131,14000,13443,13469,15427,14717,13681,13255,12120,21620
강원도,72세,6893,7065,7665,8415,8629,7935,8486,9202,10442,11391,12314,12558,13722,14495,14324,14884,16539,13921,13829,13334,13320,15308,14608,13507,13155,11992
강원도,73세,7086,6663,6820,7454,8128,8373,7691,8171,8942,10180,11136,11978,12360,13460,14198,14093,14662,16275,13739,13664,13158,13137,15180,14441,13321,12988
강원도,74세,6459,6836,6401,6541,7200,7834,8068,7456,7924,8663,9886,10848,11751,12063,13203,13913,13861,14380,15991,13506,13446,12952,12990,14913,14178,13108
강원도,75세,6361,6133,6522,6119,6291,6920,7523,7762,7196,7654,8410,9575,10579,11464,11718,12858,13564,13543,14071,15638,13254,13212,12765,12723,14640,13902
강원도,76세,5942,6045,5777,6261,5810,6008,6670,7207,7444,6941,7400,8199,9369,10268,11101,11377,12554,13211,13183,13738,15264,13016,12983,12507,12411,14351
강원도,77세,4795,5591,5732,5493,5880,5457,5712,6346,6883,7110,6686,7163,7986,9018,9954,10771,11081,12237,12852,12832,13361,14881,12715,12601,12250,12123
강원도,78세,4339,4462,5237,5424,5173,5550,5173,5422,6062,6567,6821,6407,6992,7714,8744,9662,10358,10675,11822,12491,12438,12974,14520,12370,12243,11948
강원도,79세,4021,4039,4145,4887,5126,4822,5247,4869,5130,5772,6244,6535,6222,6676,7435,8366,9286,9941,10234,11387,12053,12035,12600,14037,11972,11821
강원도,80세,3633,3744,3755,3858,4521,4740,4498,4916,4555,4887,5484,5897,6282,5910,6396,7121,7989,8892,9524,9819,10909,11585,11662,12111,13487,11490
강원도,81세,3558,3348,3422,3451,3558,4168,4418,4183,4587,4301,4613,5174,5633,5966,5634,6089,6772,7572,8497,9076,9351,10445,11141,11106,11580,12899
강원도,82세,2887,3281,3009,3139,3144,3227,3795,4099,3883,4294,3977,4330,4924,5313,5659,5346,5818,6406,7168,8061,8598,8899,9997,10569,10491,11045
강원도,83세,2377,2595,2937,2704,2832,2845,2919,3454,3783,3609,3950,3701,4068,4624,4928,5307,5018,5439,6010,6781,7592,8142,8455,9409,9957,9795
강원도,84세,2024,2114,2307,2625,2384,2520,2578,2658,3153,3478,3300,3629,3458,3798,4310,4605,4951,4714,5117,5635,6327,7116,7640,7919,8806,9286
강원도,85세,8043,1769,1880,2086,2374,2137,2258,2308,2379,2843,3143,2974,3343,3179,3505,4021,4224,4570,4368,4756,5240,5940,6636,7088,7286,8198
강원도,86세,-,1496,1539,1636,1812,2087,1882,2016,2069,2113,2569,2822,2752,3031,2864,3254,3696,3843,4191,4019,4380,4829,5486,6085,6426,6671
강원도,87세,-,1252,1261,1350,1418,1584,1811,1666,1781,1828,1886,2289,2574,2504,2742,2597,2983,3359,3511,3833,3659,4032,4446,5003,5479,5856
강원도,88세,-,894,1069,1064,1163,1202,1348,1566,1390,1523,1564,1680,2040,2294,2210,2441,2288,2687,3003,3169,3463,3257,3650,4033,4461,4947
강원도,89세,-,781,740,904,904,968,982,1154,1329,1211,1321,1328,1521,1757,2016,1942,2156,2060,2399,2713,2804,3085,2899,3263,3527,3948
강원도,90세,-,621,635,607,742,753,816,809,985,1115,1057,1130,1198,1322,1545,1770,1690,1884,1818,2123,2343,2533,2704,2575,2824,3056
강원도,91세,-,469,512,505,476,607,605,703,666,780,941,877,996,1010,1102,1319,1545,1413,1613,1573,1833,2049,2223,2305,2175,2419
강원도,92세,-,342,364,418,408,376,500,472,576,553,633,782,773,832,838,908,1118,1318,1226,1357,1348,1573,1760,1890,1914,1846
강원도,93세,-,241,273,284,335,315,309,416,395,460,434,516,696,622,688,684,759,916,1112,1031,1138,1135,1350,1478,1527,1567
강원도,94세,-,170,170,211,208,252,240,258,314,309,354,341,437,565,498,572,569,615,758,916,847,930,934,1124,1181,1229
강원도,95세,-,375,416,428,490,520,593,651,683,748,247,262,308,348,446,402,457,462,516,617,747,690,778,750,856,915
강원도,96세,-,-,-,-,-,-,-,-,-,-,189,199,237,243,267,347,322,375,375,417,479,582,575,589,547,678
강원도,97세,-,-,-,-,-,-,-,-,-,-,111,146,182,170,193,210,273,249,302,303,339,349,465,418,420,410
강원도,98세,-,-,-,-,-,-,-,-,-,-,94,86,145,152,131,158,161,218,193,242,234,262,266,350,295,283
강원도,99세,-,-,-,-,-,-,-,-,-,-,63,73,93,111,125,102,127,128,178,147,189,190,209,179,235,219
강원도,100세 이상,-,-,-,-,-,-,-,-,-,-,120,133,408,429,478,523,554,608,656,697,711,794,864,358,337,390
충청북도,계,1484466,1492077,1497513,1496520,1492713,1489635,1488945,1488803,1494559,1506608,1519587,1527478,1549528,1562903,1565628,1572732,1578933,1583952,1591625,1594432,1599252,1600007,1600837,1597427,1595058,1593469
충청북도,0세,19008,18390,18697,16515,14467,13964,13620,12503,12712,14406,13690,13398,14224,14315,14516,13222,12986,13156,12454,11022,10364,9051,8399,8030,7337,7487
충청북도,1세,21179,20173,19312,19479,17179,15162,14561,14141,13098,13469,15104,14209,13936,14821,14677,15004,13545,13341,13491,12723,11429,10712,9382,8730,8312,7638
충청북도,2세,21612,21284,20152,19218,19454,17285,15159,14552,14349,13263,13702,15204,14436,14083,14782,14859,15076,13529,13393,13471,12761,11445,10742,9352,8689,8380
충청북도,3세,21863,21776,21368,20052,19229,19535,17284,15233,14766,14538,13459,13758,15347,14565,14115,14823,14869,15105,13608,13387,13465,12786,11439,10745,9355,8741
충청북도,4세,22325,21986,21868,21239,20122,19212,19515,17275,15348,14965,14694,13508,13870,15528,14541,14079,14834,14770,15097,13606,13401,13533,12815,11395,10697,9331
충청북도,5세,22451,22330,22061,21900,21338,20211,19241,19491,17469,15459,15138,14769,13578,13979,15508,14605,14030,14769,14818,15052,13615,13411,13562,12848,11414,10693
충청북도,6세,22632,22531,22283,22030,21791,21353,20230,19328,19585,17500,15595,15177,14861,13694,13931,15472,14525,13961,14795,14770,15038,13593,13403,13551,12844,11335
충청북도,7세,21461,22680,22595,22191,22067,21818,21383,20228,19407,19769,17600,15667,15222,14954,13680,13935,15447,14435,13968,14750,14795,15087,13663,13438,13602,12803
충청북도,8세,19973,21470,22641,22520,22235,22009,21784,21312,20306,19498,19870,17686,15702,15291,14962,13652,13926,15401,14498,13950,14827,14771,15143,13728,13443,13547
충청북도,9세,19418,19937,21482,22479,22450,22147,21981,21705,21319,20382,19595,19897,17766,15816,15258,14934,13577,13852,15423,14475,13964,14896,14823,15158,13717,13378
충청북도,10세,19708,19393,19899,21420,22375,22362,22074,22003,21671,21360,20417,19669,19916,17804,15793,15253,14883,13537,13866,15388,14507,14024,14962,14851,15129,13720
충청북도,11세,20000,19755,19292,19806,21286,22284,22370,22066,22052,21742,21434,20423,19689,20010,17789,15765,15197,14791,13573,13815,15407,14496,14049,14934,14859,15100
